Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2012-10-27,1,45,µg/mc
"Parco S. Chiara",PM10,2012-10-27,2,45,µg/mc
"Parco S. Chiara",PM10,2012-10-27,3,44,µg/mc
"Parco S. Chiara",PM10,2012-10-27,4,40,µg/mc
"Parco S. Chiara",PM10,2012-10-27,5,32,µg/mc
"Parco S. Chiara",PM10,2012-10-27,6,24,µg/mc
"Parco S. Chiara",PM10,2012-10-27,7,21,µg/mc
"Parco S. Chiara",PM10,2012-10-27,8,19,µg/mc
"Parco S. Chiara",PM10,2012-10-27,9,20,µg/mc
"Parco S. Chiara",PM10,2012-10-27,10,20,µg/mc
"Parco S. Chiara",PM10,2012-10-27,11,16,µg/mc
"Parco S. Chiara",PM10,2012-10-27,12,13,µg/mc
"Parco S. Chiara",PM10,2012-10-27,13,11,µg/mc
"Parco S. Chiara",PM10,2012-10-27,14,10,µg/mc
"Parco S. Chiara",PM10,2012-10-27,15,8,µg/mc
"Parco S. Chiara",PM10,2012-10-27,16,9,µg/mc
"Parco S. Chiara",PM10,2012-10-27,17,11,µg/mc
"Parco S. Chiara",PM10,2012-10-27,18,10,µg/mc
"Parco S. Chiara",PM10,2012-10-27,19,10,µg/mc
"Parco S. Chiara",PM10,2012-10-27,20,1,µg/mc
"Parco S. Chiara",PM10,2012-10-27,21,1,µg/mc
"Parco S. Chiara",PM10,2012-10-27,22,1,µg/mc
"Parco S. Chiara",PM10,2012-10-27,23,0,µg/mc
"Parco S. Chiara",PM10,2012-10-27,24,n.d.,µg/mc
"Parco S. Chiara",PM10,2012-10-28,1,0,µg/mc
"Parco S. Chiara",PM10,2012-10-28,2,0,µg/mc
"Parco S. Chiara",PM10,2012-10-28,3,1,µg/mc
"Parco S. Chiara",PM10,2012-10-28,4,1,µg/mc
"Parco S. Chiara",PM10,2012-10-28,5,1,µg/mc
"Parco S. Chiara",PM10,2012-10-28,6,2,µg/mc
"Parco S. Chiara",PM10,2012-10-28,7,2,µg/mc
"Parco S. Chiara",PM10,2012-10-28,8,3,µg/mc
"Parco S. Chiara",PM10,2012-10-28,9,4,µg/mc
"Parco S. Chiara",PM10,2012-10-28,10,3,µg/mc
"Parco S. Chiara",PM10,2012-10-28,11,3,µg/mc
"Parco S. Chiara",PM10,2012-10-28,12,4,µg/mc
"Parco S. Chiara",PM10,2012-10-28,13,5,µg/mc
"Parco S. Chiara",PM10,2012-10-28,14,5,µg/mc
"Parco S. Chiara",PM10,2012-10-28,15,5,µg/mc
"Parco S. Chiara",PM10,2012-10-28,16,6,µg/mc
"Parco S. Chiara",PM10,2012-10-28,17,6,µg/mc
"Parco S. Chiara",PM10,2012-10-28,18,5,µg/mc
"Parco S. Chiara",PM10,2012-10-28,19,6,µg/mc
"Parco S. Chiara",PM10,2012-10-28,20,5,µg/mc
"Parco S. Chiara",PM10,2012-10-28,21,5,µg/mc
"Parco S. Chiara",PM10,2012-10-28,22,6,µg/mc
"Parco S. Chiara",PM10,2012-10-28,23,6,µg/mc
"Parco S. Chiara",PM10,2012-10-28,24,8,µg/mc
"Parco S. Chiara",PM10,2012-10-29,1,6,µg/mc
"Parco S. Chiara",PM10,2012-10-29,2,7,µg/mc
"Parco S. Chiara",PM10,2012-10-29,3,6,µg/mc
"Parco S. Chiara",PM10,2012-10-29,4,6,µg/mc
"Parco S. Chiara",PM10,2012-10-29,5,6,µg/mc
"Parco S. Chiara",PM10,2012-10-29,6,5,µg/mc
"Parco S. Chiara",PM10,2012-10-29,7,5,µg/mc
"Parco S. Chiara",PM10,2012-10-29,8,6,µg/mc
"Parco S. Chiara",PM10,2012-10-29,9,6,µg/mc
"Parco S. Chiara",PM10,2012-10-29,10,8,µg/mc
"Parco S. Chiara",PM10,2012-10-29,11,7,µg/mc
"Parco S. Chiara",PM10,2012-10-29,14,4,µg/mc
"Parco S. Chiara",PM10,2012-10-29,15,5,µg/mc
"Parco S. Chiara",PM10,2012-10-29,16,5,µg/mc
"Parco S. Chiara",PM10,2012-10-29,17,7,µg/mc
"Parco S. Chiara",PM10,2012-10-29,18,14,µg/mc
"Parco S. Chiara",PM10,2012-10-29,19,19,µg/mc
"Parco S. Chiara",PM10,2012-10-29,20,26,µg/mc
"Parco S. Chiara",PM10,2012-10-29,21,27,µg/mc
"Parco S. Chiara",PM10,2012-10-29,22,21,µg/mc
