Data,bolz rain,bolz temp,bolz hum,bolz w_dir,bolz w_sp,bolz press,bolz sol,parco rain,parco temp,parco press,rov rain,rov temp,rov hum,rov w_dir,rov w_sp,rov press,rov sol,rg rain,rg temp,avio rain,avio temp,borgo rain,borgo temp,piana rain,piana temp,piana press,mgazza rain,mgazza temp,mgazza hum,mgazza w_dir,mgazza w_sp,mgazza press,mgazza sol
2012-01-01,0.0,0.0,78.6,342.0,0.7,995.5,6433.5,,,,0.0,0.8,73.5,183.0,0.9,997.1,3615.3,,,,,,,,,,0.0,0.7,72.3,272.0,1.3,851.0,5489.0
2012-01-02,15.0,-0.4,95.0,348.0,1.0,994.7,1154.3,,,,17.4,0.8,88.5,194.0,1.0,996.0,998.3,,,,,,,,,,18.7,-2.0,93.8,73.0,1.2,849.2,2667.0
2012-01-03,0.6,3.6,86.8,329.0,1.8,997.5,7082.0,,,,1.0,3.3,93.7,169.0,1.0,998.9,4112.6,,,,,,,,,,4.9,-2.8,76.9,267.0,1.8,853.0,6000.0
2012-01-04,0.0,0.1,90.0,337.0,1.0,993.7,3149.2,,,,0.0,1.1,90.3,174.0,1.0,995.2,2201.1,,,,,,,,,,0.0,-4.0,66.0,300.0,1.5,848.7,3189.0
2012-01-05,0.0,1.0,79.8,343.0,1.5,980.3,5839.9,,,,0.4,1.6,75.6,179.0,1.4,981.9,3931.4,,,,,,,,,,1.0,-3.6,56.6,296.0,1.8,836.9,4909.0
2012-01-06,0.0,4.4,67.4,333.0,3.0,980.9,7149.7,,,,0.2,4.7,65.6,161.0,1.6,982.3,4402.5,,,,,,,,,,0.2,-5.4,72.6,238.0,2.2,838.3,6171.0
2012-01-07,0.0,1.5,61.6,340.0,1.3,991.4,5670.1,,,,0.0,2.4,57.8,153.0,1.0,993.0,3558.7,,,,,,,,,,0.0,-3.8,44.7,277.0,1.8,847.5,4584.0
2012-01-08,0.0,3.9,61.6,348.0,2.5,990.6,7850.6,,,,0.0,3.7,62.1,165.0,1.3,991.8,4613.5,,,,,,,,,,0.0,-3.7,64.8,274.0,1.5,847.1,6455.0
2012-01-09,0.0,3.5,60.6,330.0,1.5,997.2,7607.4,,,,0.0,3.2,62.7,148.0,1.1,998.8,4541.6,,,,,,,,,,0.0,-4.1,55.4,282.0,2.0,853.0,6249.0
2012-01-10,0.0,4.1,56.8,349.0,1.9,1001.2,8116.0,,,,0.0,3.9,59.1,150.0,1.1,1002.5,4511.3,,,,,,,,,,0.0,-0.7,48.6,274.0,2.1,857.3,6372.0
2012-01-11,0.0,2.1,65.6,342.0,0.8,1005.3,7614.8,,,,0.0,3.1,62.4,179.0,0.9,1006.6,4585.7,,,,,,,,,,0.0,0.9,49.4,261.0,1.5,860.0,6347.0
2012-01-12,0.0,0.6,80.6,336.0,0.6,1001.4,7700.2,,,,0.0,1.9,73.5,184.0,0.9,1002.8,4701.3,,,,,,,,,,0.0,-0.1,50.8,267.0,1.4,856.2,6589.0
2012-01-13,0.0,1.3,71.8,333.0,0.9,992.3,7605.5,,,,0.0,1.6,72.2,167.0,1.0,993.8,4858.5,,,,,,,,,,0.0,-0.9,36.3,279.0,1.8,848.7,6680.0
2012-01-14,0.0,1.6,43.2,343.0,1.5,994.2,8335.7,,,,0.0,1.8,42.9,145.0,1.0,995.7,5059.9,,,,,,,,,,0.0,-6.1,32.3,283.0,1.5,849.1,6838.0
2012-01-15,0.0,-2.2,53.3,348.0,0.8,993.9,8417.3,,,,0.0,-0.9,47.7,152.0,1.1,995.5,5050.5,,,,,,,,,,0.0,-7.8,31.9,266.0,1.4,847.6,6891.0
2012-01-16,0.0,-3.9,63.0,342.0,0.8,997.3,8179.9,,,,0.0,-2.2,53.2,180.0,1.0,998.8,4871.7,,,,,,,,,,0.0,-9.0,52.7,265.0,1.4,849.8,6852.0
2012-01-17,0.0,-3.7,66.4,345.0,0.6,1000.6,8118.0,,,,0.0,-2.0,56.9,184.0,1.0,1002.1,4950.0,,,,,,,,,,0.0,-3.0,40.0,266.0,1.6,853.4,6973.0
2012-01-18,0.0,-0.5,69.8,352.0,0.7,1004.2,8265.4,,,,0.0,-0.4,65.7,167.0,1.0,1005.8,5042.7,,,,,,,,,,0.0,-1.0,40.2,277.0,1.9,858.1,7231.0
2012-01-19,0.0,-1.5,81.8,349.0,0.5,1000.3,2737.6,,,,0.0,-0.3,79.5,213.0,0.8,1002.0,2476.1,,,,,,,,,,0.0,-1.9,53.6,258.0,0.9,854.0,3021.0
2012-01-20,0.0,-0.6,81.6,353.0,1.2,988.7,4506.7,,,,0.0,1.0,76.8,171.0,1.3,990.2,4022.5,,,,,,,,,,0.0,-0.5,52.1,261.0,1.7,844.5,4750.0
2012-01-21,0.0,3.3,78.2,333.0,2.4,988.6,8158.7,,,,0.0,4.1,70.7,154.0,1.2,989.9,5555.7,,,,,,,,,,0.0,-3.8,80.0,282.0,1.0,844.6,6387.0
2012-01-22,0.0,0.7,87.2,345.0,0.8,984.2,6834.7,,,,0.2,2.2,78.0,181.0,1.1,985.9,5461.0,,,,,,,,,,0.0,0.9,52.4,268.0,1.5,841.9,6550.0
2012-01-23,0.0,1.2,82.9,328.0,0.7,987.2,6569.8,,,,0.0,2.4,76.2,164.0,0.8,988.8,4761.4,,,,,,,,,,0.0,-1.1,50.2,265.0,1.5,844.9,6456.0
2012-01-24,0.0,2.9,60.3,340.0,2.3,989.1,7800.7,,,,0.0,3.9,55.9,137.0,1.5,990.2,5963.6,,,,,,,,,,0.0,-4.4,55.0,277.0,2.0,845.4,7359.0
2012-01-25,0.0,2.6,39.1,350.0,2.3,992.9,9380.4,,,,0.0,2.8,39.6,173.0,1.2,994.4,6120.7,,,,,,,,,,0.0,-6.0,39.6,269.0,2.3,848.0,7991.0
